English,Afrikaans
Share,deel 
hands,hande 
grub,kos 
way,pad 
further,verder 
hour,uur 
women,vroue 
abandon,verlaat 
mention,noem 
dr,dr 
letter,brief 
sister,suster 
such,sulke 
ever,ooit 
war,oorlog 
pull,trek 
still,steeds 
between,tussen 
debt,skuld 
moss,mos 
past,verby 
found,gevind 
men,manne 
shark,haai 
boss,baas 
wear,dra 
rights,regte 
mine,myne 
a,a 
expect,verwag 
agent,agent 
earth,aarde 
laugh,lag 
king,koning 
case,geval 
only,enigste 
send,stuur 
water,water 
need,benodig 
difficult,moeilik 
already,reeds 
die,sterf 
with,daarmee 
lieutenant,luitenant 
Shovel,graaf 
tonight,vanaand 
brother,broer 
within,binne 
word,woord 
actually,eintlik 
daddy,pappa 
decision,besluit 
therefore,dus 
kind,gaaf 
voice,stem 
moment,oomblik 
emperor,keiser 
coffee,koffie 
idea,idee 
gave,gegee 
music,musiek 
follow,volg 
poor,arme 
wish,wens 
light,lig 
at,ten 
face,gesig 
therefore,daarom 
talked,gepraat 
fall,val 
Heidi,heidi 
ladies,dames 
care,sorg 
sun,son 
help,hulp 
martin,martin 
stupid,dom 
outside,buite 
honor,eer 
possible,moontlik 
bed,bed 
rely,vertrou 
prince,prins 
held,gehou 
busy,besig 
answer,antwoord 
von,von 
problem,probleem 
accept,aanvaar 
how much,hoeveel 
damn,verdomp 
welcome,welkom 
school,skool 
exactly,presies 
enjoy,geniet 
rest,rus 
call,bel 
fire,vuur 
men,mans 
girls,meisies 
weeks,weke 
near,naby 
buy,koop 
Empress,keiserin 
Mrs,mev 
once,eens 
funny,snaaks 
anne,anne 
week,week 
entire,heel 
ensure,verseker 
send,gestuur 
truth,waarheid 
went,gegaan 
mill,maal 
madam,mevrou 
just as well,sommer 
wonderful,wonderlik 
lady,dame 
yourself,jouself 
full,vol 
mcgee,mcgee 
please,asb 
painter,skilder 
groan,bemin 
move,beweeg 
have,he 
thing,ding 
reason,rede 
about it,daaraan 
return,terugkom 
proposal,voorstel 
that,sodat 
what for,waarvoor 
departure,vertrek 
aunt,tante 
reside,woon 
dance,dans 
you,you 
parents,ouers 
serious,ernstig 
hate,haat 
exist,bestaan 
proof,bewys 
myself,myself 
least,minste 
heavy,swaar 
schiller,schiller 
cry,huil 
brought,gebring 
tony,tony 
secret,geheim 
manner,manier 
Paris,parys 
gravin,gravin 
while,terwyl 
their,hul 
bad,slegte 
uncle,oom 
heaven,hemel 
movie,film 
mean,mee 
tired,moeg 
count,tel 
strong,sterk 
hoof,hoef 
promise,beloof 
above,bo 
nene,nene 
words,woorde 
angry,kwaad 
unfortunately,ongelukkig 
fight,veg 
careful,versigtig 
turn,draai 
Pride,trots 
minutes,minute 
hot,warm 
sounds,klink 
cease,ophou 
less,minder 
not,nê 
peter,peter 
often,dikwels 
of which,waarvan 
John,johannes 
though,asof 
per,per 
story,storie 
worked,gewerk 
grandmother,ouma 
hard,hard 
plan,plan 
though,darem 
princess,prinses 
fast,vas 
already,alreeds 
almost,amper 
himself,homself 
short,kort 
completely,heeltemal 
old,oud 
row,ry 
worried,bekommerd 
save,red 
impossible,onmoontlik 
according to,volgens 
wonder,wonder 
baby,baba 
restful,rustig 
air,lug 
apparent,duidelik 
Marie,marie 
city,stad 
yours,joune 
ziva,ziva 
months,maande 
hello,hello 
four,vier 
forgive,vergewe 
long,lang 
receive,ontvang 
married,getroud 
years,jare 
faith,geloof 
French,franse 
marriage,huwelik 
feeling,gevoel 
general,generaal 
travel,reis 
both,albei 
order,bevel 
free,vry 
Albert,albert 
wine,wyn 
ing,inger 
russians,russe 
solk,birkut 
major,majoor 
realize,besef 
nearly,byna 
pretty,pragtige 
ben,ben 
learn,geleer 
was,gewees 
stab,steek 
not at all,gladnie 
dream,droom 
earn,verdien 
quickly,vinnig 
flowers,blomme 
kill,doodmaak 
once,eenmaal 
bush,bos 
lot,klomp 
break,breek 
comrade,kameraad 
total,totaal 
beautiful,pragtig 
leopold,leopold 
about,omtrent 
error,fout 
certainly,sekerlik 
news,nuus 
explain,verduidelik 
rich,ryk 
anything,enigiets 
swear,sweer 
danger,gevaar 
month,maand 
don,don 
joke,grap 
acknowledge,erken 
doctor,doktor 
call,roep 
sad,treurig 
everywhere,oral 
thanks,dank 
dress,rok 
dinozzo,dinozzo 
captain,kaptein 
German,duitse 
ache,pyn 
colonel,kolonel 
end,einde 
red,rooi 
vory,wenen 
reach,bereik 
gilles,gilles 
pleasure,plesier 
miss,mis 
charlotte,charlotte 
hair,hare 
hit,slaan 
building,gebou 
recognize,herken 
love,liefhet 
rather,nogal 
choose,kies 
farm,plaas 
at home,tuis 
France,frankryk 
the,dié 
head,hoof 
branch,frank 
since,sedert 
rembrandt,rembrandt 
order,orde 
along,langs 
evening,aand 
protect,beskerm 
health,gesondheid 
step,stap 
window,venster 
joy,vreugde 
deer,deer 
chabert,chabert 
smile,glimlag 
what,watse 
thereafter,daarna 
devil,duiwel 
healthy,gesond 
spell,spel 
lace,kant 
peace,vrede 
director,direkteur 
awake,wakker 
dog,hond 
disappear,verdwyn 
silence,stilte 
court,hof 
blood,bloed 
type,soort 
Jan,jan 
Mathieu,mathieu 
everybody,elkeen 
clean,skoon 
throw,gooi 
before,voordat 
named,genoem 
rubbish,gemors 
continue,aangaan 
crease,komaan 
yesterday,gister 
important,belangrik 
ahead,voort 
shoot,skiet 
sign,teken 
table,tafel 
lead,lei 
few,min 
aunt,tant 
in love,verlief 
sea,see 
George,george 
beer,bier 
ciske,ciske 
promise,belowe 
so many,soveel 
monster,monsieur 
round,rond 
state,staat 
books,boeke 
what,waaroor 
safe,veilig 
lots,lotte 
book,boek 
elected,verkies 
Austria,oostenryk 
hitler,hitler 
future,toekoms 
kiss,soen 
understand,begryp 
then,siedler 
five,vyf 
Sophie,sophie 
lawyer,prokureur 
wall,muur 
master,meester 
really,werklik 
prison,tronk 
sometimes,soms 
taken,geneem 
nelly,nelly 
each,elk 
read,gelees 
crazy,mal 
Klara,klara 
duke,hertog 
English,engelse 
oh,oh 
guests,gaste 
keith,keith 
question,vraag 
milk,melk 
pressure,druk 
germain,germain 
queen,koningin 
gear,heen 
caroline,caroline 
class,klas 
bad,erg 
usually,gewoonlik 
stalingrad,stalingrad 
up to it,daarop 
madam,madam 
catch,vang 
fear,vrees 
worse,erger 
searched,gesoek 
nation,volk 
hello,hallo 
ground,grond 
slaughter,vermoor 
past,verlede 
horse,perd 
freedom,vryheid 
hours,ure 
both,beide 
fly,vlieg 
here,hiernatoe 
thank,bedank 
win,wen 
IT,it 
mommy,mammie 
gentlemen,menere 
body,liggaam 
chance,kans 
bratek,bratek 
dead,dooie 
meal,ete 
order,beveel 
six,ses 
i,i 
cold,koud 
Johan,johan 
plan,beplan 
lost,verlore 
Germany,duitsland 
arm,arm 
worth,werd 
born,gebore 
die,doodgaan 
attack,aanval 
attention,aandag 
especially,veral 
forgive,vergeef 
Flanders,vlaandere 
purpose,doel 
alceste,alceste 
dark,donker 
Golden,goue 
young,jonk 
special,spesiale 
problems,probleme 
ruyter,ruyter 
weak,swak 
questions,vrae 
build,bou 
Jesus,jesus 
suffer,ly 
rest,res 
sore,seer 
fight,geveg 
knock,klop 
apartment,woonstel 
ncis,ncis 
party,party 
flight,vlug 
finally,eindelik 
teacher,onderwyser 
faster,vinniger 
breath,asem 
impact,slag 
hungry,honger 
bear,verdra 
pack,pak 
love,liefie 
smart,slim 
max,max 
poppy,papa 
tomorrow,more 
consequence,gevolg 
to,to 
sand,sand 
speak,spreek 
minister,minister 
police,polisie 
price,prys 
town,dorp 
significance,belang 
example,voorbeeld 
Anton,anton 
hell,hel 
right,regkom 
really,juis 
killed,gedood 
Marianne,marianne 
ship,skip 
excuse,verskoning 
hang,hang 
surprise,verrassing 
bravo,bravo 
slow,stadig 
tweak,twak 
facing,teenoor 
where to,waarheen 
garden,tuin 
go with,saamgaan 
broken,gebreek 
calm,kalmeer 
treat,behandel 
piece,stuk 
Evening,naand 
played,gespeel 
single,enkele 
train,trein 
simply,eenvoudig 
situation,situasie 
ball,bal 
Hungary,hongarye 
one day,eendag 
mouth,mond 
except,behalwe 
hat,hoed 
roll,rol 
everything,als 
message,boodskap 
again,alweer 
discover,ontdek 
equal,gelyk 
idiot,idioot 
approach,nader 
eboshi,eboshi 
strange,vreemd 
suddenly,skielik 
secrets,geheime 
therein,daarin 
Lisa,lisa 
biggest,grootste 
lovely,lieflike 
abby,abby 
ter,ter 
white,wit 
called,gebel 
wind,wind 
assignment,opdrag 
climb,klim 
lock,sluit 
file,leër 
difficulty,moeite 
black,swart 
bag,tas 
marquis,markies 
find out,uitvind 
business,sake 
burn,brand 
Ivan,ivan 
soul,siel 
most,meeste 
miss,mej 
defend,verdedig 
mail,pos 
longer,langer 
leave,weggaan 
merry,vrolik 
damn,verdomde 
and,and 
accident,ongeluk 
number,nommer 
usual,gewone 
festival,fees 
person,persoon 
castle,kasteel 
earlier,vroeër 
tea,tee 
grab,gryp 
point,punt 
force,krag 
probably,waarskynlik 
early,vroeg 
bury,begrawe 
smell,ruik 
berlin,berlyn 
mind,verstand 
run,hardloop 
address,adres 
bigger,groter 
history,geskiedenis 
aurore,aurore 
hereof,hiervan 
boy,seuns 
revert,teruggaan 
morange,morange 
slept,geslaap 
hospital,hospitaal 
high,hoog 
saint,heilige 
deep,diep 
grave,graf 
Woods,woud 
eventually,uiteindelik 
mick,mikkel 
chopin,chopin 
artists,kunstenaars 
hunt,jag 
beg,smeek 
cis,cis 
herr,herr 
vera,vera 
arms,arms 
weimar,weimar 
avoid,vermy 
pray,bid 
put,gesit 
convince,oortuig 
Russian,russiese 
trouble,moeilikheid 
Henrik,henrik 
duration,duur 
contact,kontak 
doubt,twyfel 
photo,foto 
Karin,karin 
request,versoek 
feed,voer 
platform,platform 
pérol,pérol 
True,ware 
offer,bied 
admiral,admiraal 
professor,professor 
forward,vorentoe 
service,diens 
refuse,weier 
names,name 
definitely,beslis 
confirm,bevestig 
engaged,verloof 
material,materiaal 
front,front 
grateful,dankbaar 
discuss,bespreek 
perfect,perfek 
strange,vreemde 
back,rug 
remove,verwyder 
stayed,gebly 
bright,helder 
m,m 
stolen,gesteel 
beauty,skoonheid 
form,vorm 
sentence,sin 
street,straat 
hasty,haastig 
soldiers,soldate 
Courage,moed 
market,mark 
investigation,ondersoek 
car,kar 
million,miljoen 
wells,wells 
blue,blou 
fate,lot 
passage,gang 
ring,ring 
third,derde 
army,weermag 
baron,baron 
torgny,torgny 
shame,skande 
liver,lewer 
heart,harte 
formerly,voorheen 
invite,nooi 
talent,talent 
moment,moment 
content,tevrede 
separate,skei 
punishment,straf 
gas,gas 
appointment,afspraak 
paintings,skilderye 
murder,moord 
leader,leier 
animals,diere 
dangerous,gevaarlik 
while,rukkie 
mercy,genade 
caught,gevang 
lollo,lollo 
human,menslike 
champagne,sjampanje 
eternal,ewige 
state,toestand 
disease,siekte 
team,span 
maman,maman 
knowledge,kennis 
sara,sara 
cheerful,vrolike 
left,gelos 
terrible,verskriklik 
trees,bome 
smoke,rook 
survive,oorleef 
lady,lady 
birth,geboorte 
rat,rot 
right,regs 
these days,deesdae 
regard,beskou 
success,sukses 
eternal,ewig 
iron,yster 
ok,ok 
around,rondom 
position,posisie 
gift,geskenk 
deceased,oorlede 
explosion,ontploffing 
cut,sny 
clothing,klere 
lesson,les 
allow,toelaat 
helped,gehelp 
girls,dogters 
swim,swem 
neither,nevers 
letters,briewe 
won,gewen 
turn,beurt 
sail,vaar 
derville,derville 
down,neer 
watch,horlosie 
touched,geraak 
last night,gisteraand 
insult,beledig 
disturb,steur 
most,mees 
ashamed,skaam 
until,totdat 
be,be 
enemy,vyand 
fleet,vloot 
familiar,bekend 
bomb,bom 
Michiel,michiel 
Sweden,swede 
behave,gedra 
suicide,selfmoord 
season,seisoen 
amaze,verbaas 
due to,weens 
arms,wapens 
age,ouderdom 
commands,bevele 
knew,geken 
full,volle 
sergeant,sersant 
andrassy,andrassy 
visit,kuier 
soldier,soldaat 
various,verskeie 
carriage,koets 
step,tree 
soft,sagte 
song,lied 
polite,beleef 
comrades,kamerade 
control,beheer 
miss,verlang 
although,alhoewel 
pope,pous 
middle,middel 
gaudinier,gaudinier 
here,hierheen 
choice,keuse 
newspaper,koerant 
normal,normaal 
Dreyman,dreyman 
load,laai 
regret,spyt 
cold,koue 
cause,veroorsaak 
fresh,vars 
declare,verklaar 
office,kantoor 
after,nadat 
renaud,renaud 
Charles,charles 
saved,gered 
summer,somer 
arrange,reël 
outstanding,uitstekend 
return,terugkeer 
clean,skone 
dare,durf 
relationship,verhouding 
san,san 
military,militêre 
end,eindig 
treasure,skat 
killer,moordenaar 
more beautiful,mooier 
with what,waarmee 
as long as,solank 
honest,eerlik 
judge,oordeel 
young man,jongman 
law,wet 
glass,glas 
hotel,hotel 
straight,reguit 
now that,noudat 
left,links 
renée,renée 
Sülzheimer,sülzheimer 
art,kuns 
wrong,verkeerde 
German,duits 
chosen,gekies 
allowed,toegelaat 
surprise,verras 
test,toets 
feet,voete 
unbelievable,ongelooflik 
Rare,skaars 
giishecke,giesecke 
fritz,fritz 
craemer,kraemer 
greet,groet 
ing,inkom 
DDR,ddr 
dirty,vuil 
struggle,stryd 
sigismund,sigismund 
kitchen,kombuis 
wonderful,wonderlike 
task,taak 
intelligence,inligting 
noticed,opgemerk 
fuhrer,fuhrer 
imagine,verbeel 
la,la 
most beautiful,mooiste 
mountains,berge 
second,tweede 
track,spoor 
spoil,bederf 
knight,ridder 
Johnny,johnny 
spill,mors 
Ashitaka,ashitaka 
involved,betrokke 
sometimes,partymaal 
scene,toneel 
marco,marco 
gift,gawe 
shout,skree 
open,oopmaak 
taken,gevat 
list,lys 
delicious,heerlik 
beware,pasop 
even,even 
minute,minuut 
TV,tv 
parsa,parsa 
nest,nes 
cannons,kanonne 
noon,middag 
elisabeth,elisabeth 
missed,gemis 
d,d 
trump,tromp 
note,let 
some,sommige 
phone,foon 
bread,brood 
Duchess,hertogin 
transmit,gelei 
thousands,duisende 
respect,respek 
arrive,aankom 
anger,woede 
bus,bus 
jealous,jaloers 
Jews,jode 
ISCHL,ischl 
repeat,her 
crayon,krypton 
poles,pole 
pyramid,piramide 
pleasant,aangenaam 
possess,besit 
nature,natuur 
safety,veiligheid 
cute,oulik 
revenge,wraak 
study,studeer 
lie,lieg 
claims,eisenstein 
extend,verskuif 
trial,verhoor 
guilty,skuldig 
spirit,gees 
eye,oog 
nose,neus 
rid,ontslae 
shoes,skoene 
alive,lewendig 
handle,hanteer 
ferraud,ferraud 
confused,deurmekaar 
winter,winter 
responsible,verantwoordelik 
spring,lente 
Helene,helene 
dare,waag 
workers,werkers 
heal,genees 
satan,satan 
exercise,oefen 
swear,vloek 
mateusz,mateusz 
just like,netsoos 
amen,amen 
for,for 
used to,gewoond 
pigs,varke 
tosia,tosia 
times,tye 
foot,voet 
extra,ekstra 
claim,beweer 
mcbride,mcbride 
that,that 
open,open 
bought,gekoop 
map,kaart 
somewhere,êrens 
maxence,maxence 
hole,gat 
serve,dien 
lazlo,lazlo 
monkey,aap 
again,we 
secretary,sekretaris 
rent,huur 
group,groep 
rats,rotte 
mike,mike 
together,bymekaar 
punished,gestraf 
fish,vis 
suffering,lyding 
monster,monster 
boyfriend,kêrel 
noble,edele 
from,vandaan 
measurement,maat 
ten,tien 
escape,ontsnap 
stupid,onnosel 
good day,goeiedag 
cheat,bedrieg 
theater,teater 
brought,saamgebring 
elixer,elikser 
admire,bewonder 
believed,geglo 
hull,dop 
create,skep 
thanks to,danksy 
half,half 
officer,offisier 
prepare,voorberei 
damage,skade 
zod,zod 
Hungarian,hongaarse 
boy,seuntjie 
dog,honde 
suggested,voorgestel 
language,taal 
horses,perde 
bit,stukkie 
shine,skyn 
pest,pes 
only,slegs 
previous,vorige 
management,bestuur 
happy,gelukkige 
border,grens 
Theo,theo 
end,beland 
warn,waarsku 
dominique,dominique 
wonders,wonders 
Alfred,alfred 
Christ,christus 
evil,bose 
repair,herstel 
duty,plig 
violin,viool 
farewell,afskeid 
offer,aanbied 
affair,besigheid 
bones,bene 
favor,guns 
wedding,troue 
west,weste 
suppose,gestel 
anyone,enigeen 
choir,koor 
beloved,geliefde 
ida,ida 
victor,victor 
important,belangrike 
enter,ingaan 
florine,floryne 
neck,nek 
remind,herinner 
about this,hieroor 
witnesses,getuies 
neighborhood,buurt 
factotum,faktotum 
while,tydens 
at ease,gerus 
borin,borin 
preserve,bewaar 
little one,kleintjie 
soft,sag 
board,boord 
line,line 
hurray,hoera 
fake,valse 
faithful,getrou 
career,loopbaan 
growth,groei 
end,end 
bother,pla 
maid,bediende 
invited,uitgenooi 
manners,maniere 
increase,verhoog 
destroy,vernietig 
get away,wegkom 
Freimuth,freimuth 
what,waaraan 
total,totale 
nozzle,adelheid 
close,gesluit 
roof,dak 
hut,huta 
rachin,rachin 
head attendant,hoofkelner 
now,nowa 
fortune,fortuin 
rules,reëls 
wait,gewag 
floor,vloer 
had,had 
seconds,sekondes 
personal,persoonlik 
entertainment,vermaak 
lived,geleef 
agreement,ooreenkoms 
hauser,hauser 
cross,kruis 
ABBS,abbs 
repeat,herhaal 
de,de 
accomplish,vervul 
died,gesterf 
care,omgee 
interesting,interessant 
dear,dierbare 
during,gedurende 
nowhere,nêrens 
lagardère,lagardère 
georges,georges 
barbara,barbara 
appear,verskyn 
gonzague,gonzague 
suspect,vermoed 
Wimschneider,wimschneider 
invited,genooi 
will,wille 
hard,harde 
thereafter,hierna 
roses,rose 
French,frans 
victim,slagoffer 
feelings,gevoelens 
arise,ontstaan 
fright,skrik 
sisters,susters 
prohibit,verbied 
birds,voëls 
line,lyn 
weapon,wapen 
government,regering 
suppose,veronderstel 
half,helfte 
leave,verlof 
article,artikel 
houses,huise 
coat,jas 
station,stasie 
cook,kook 
take away,wegneem 
baptists,baptiste 
current,stroom 
key,sleutel 
church,kerk 
betray,verraai 
deny,ontken 
Witt,witt 
mr,mr 
herewith,hiermee 
come out,uitkom 
beulwitz,beulwitz 
funny,snaakse 
David,dawid 
rain,reën 
advantage,voordeel 
sweetest,liefste 
novel,roman 
set,bepaal 
not,nè 
report,verslag 
vincent,vincent 
Good evening,goeienaand 
fun,pret 
mendz,mendez 
circumstances,omstandighede 
confidence,vertroue 
calm,kalm 
worst,ergste 
guys,ouens 
return,teruggekom 
Darling,liefling 
count,reken 
discharge,ontslaan 
loved,liefgehad 
telephone,telefoon 
cellar,kelder 
reject,verwerp 
exit,uitgaan 
codeex,codex 
pepinot,pepinot 
anjah,anja 
guards,wagte 
praise,lof 
café,kafee 
computer,rekenaar 
bag,sak 
apprehensive,bevrees 
excited,opgewonde 
called,geroep 
troops,troepe 
spend,spandeer 
victory,oorwinning 
farewell,vaarwel 
authorize,magtig 
softly,saggies 
east,ooste 
continue,aanhou 
account,rekening 
drink,gedrink 
wherein,waarin 
as soon as,sodra 
English,engels 
free,vrye 
young people,jongmense 
on which,waarop 
mountain,berg 
appreciate,waardeer 
dead,dooies 
jump,spring 
burden,las 
remorse,berou 
wise,wisse 
devastate,verwoes 
desk,lessenaar 
drove,gery 
prosperity,voorspoed 
responsibility,verantwoordelikheid 
artist,kunstenaar 
girolamo,girolamo 
thirst,dors 
rooms,kamers 
welcomed,verwelkom 
friend,vriendin 
friendship,vriendskap 
yet,dog 
rot,vrot 
Wayne,wayne 
polar,poolse 
relax,ontspan 
Russia,rusland 
bite,byt 
plans,planne 
Lengefeld,lengefeld 
stars,sterre 
Clark,clark 
reception,onthaal 
urgent,dringend 
mark,merk 
barons,barones 
di,di 
steal,steel 
unfortunately,helaas 
attacks,aanvalle 
obey,gehoorsaam 
proceed,voortgaan 
crawl,kruip 
mallefille,mallefille 
leg,been 
titus,titus 
hoped,gehoop 
respect,respekteer 
béthune,béthune 
rijn,rijn 
bridge,brug 
Friedrich,friedrich 
mistakes,foute 
Cityline,cityline 
regent,regent 
seven,sewe 
describe,beskryf 
mankind,mensdom 
property,eiendom 
absolutely,absoluut 
blind,blind 
whore,hoër 
serve,bedien 
exercise,oefening 
corner,hoek 
shot,geskiet 
there,soontoe 
concerned,besorg 
birthday,verjaardag 
where,waarnatoe 
holland,holland 
boat,boot 
dollar,dollar 
hot,heet 
paper,papier 
yourself,uself 
crime,misdaad 
on,tolik 
silver,silwer 
bank,bank 
#VALUE!,#VALUE!
imperial,keiserlike 
public,openbaar 
Adina,adina 
something,soiets 
strict,streng 
village,dorpie 
creator,skepper 
complain,kla 
wagon,wa 
holiday,vakansie 
university,universiteit 
layers,lae 
Mary,maria 
violence,geweld 
der,der 
angel,engel 
before,tevore 
concern,betref 
certain,sekere 
upset,ontsteld 
rössl,rössl 
outstanding,uitstekende 
sin,sonde 
also,ookal 
opportunity,geleentheid 
klärchen,klärchen 
doctors,dokters 
evil,böse 
Paul,paul 
promise,belofte 
manager,bestuurder 
left,gelaat 
family,gesin 
walked,geloop 
glad,verheug 
burst,bars 
wishes,wense 
engagement,verlowing 
stopped,gestop 
pine,den 
at least,minstens 
cousin,niggie 
David,david 
tone,toon 
have,have 
taste,smaak 
this morning,vanoggend 
homeland,vaderland 
free,gratis 
cause,oorsaak 
heavenly,hemelse 
substance,stof 
Josepha,josepha 
Claire,claire 
louis,louis 
territory,gebied 
cat,kat 
politics,politiek 
pinch,knyp 
meat,vleis 
last,laas 
harder,harder 
ludovika,ludovika 
divorce,egskeiding 
ears,ore 
where after,waarna 
breakfast,ontbyt 
eggs,eiers 
heat,hitte 
afford,bekostig 
fuhrmann,fuhrmann 
vent,vent 
marv,marv 
hebner,hebner 
immediately,onmiddelik 
kissed,gesoen 
boring,vervelig 
no,no 
perfect,perfekte 
marguerite,marguerite 
please.,asb. 
on time,betyds 
push,stoot 
teeth,tande 
new,nuut 
link,skakel 
how,hoedat 
enemies,vyande 
painted,geskilder 
poland,poland 
talk,gesprek 
Jew,jood 
Adolf,adolf 
clean,skoonmaak 
little girl,dogtertjie 
cal,kal 
flower,blom 
final,finaal 
civilization,beskawing 
good morning,goeiemôre 
countryside,platteland 
how,hoë 
easier,makliker 
long ago,lankal 
ridiculous,belaglik 
laid,gelê 
meter,meter 
axel,axel 
borrow,leen 
Olivier,olivier 
lie,le 
culprit,skuldige 
elsewhere,elders 
delicious,heerlike 
Bavaria,bavaria 
colleague,kollega 
plague,plaag 
just like that,netso 
Olga,olga 
green,groen 
philinte,philinte 
personal,persoonlike 
orange,oranje 
Georg,georg 
bluebeared,bloubaard 
also,daarby 
fight,baklei 
for this,hiervoor 
rough,rof 
sponsorensgaard,borgensgaard 
operation,operasie 
Borgen,borgen 
upset,ontstel 
so far,sover 
rule,regeer 
river,rivier 
st,st 
real,egte 
powerful,magtige 
eight,agt 
she,she 
proof,bewyse 
difference,verskil 
bind,verbind 
comfort,troos 
Weissen,weissen 
just,netnou 
morning,oggend 
sad,treurige 
stir,roer 
title,titel 
coerce,forseer 
unless,tensy 
signed,geteken 
blank,leeg 
achieved,regkry 
president,president 
palace,paleis 
Joseph,joseph 
Germans,duitsers 
training,opleiding 
US,vsa 
firefighter,brandmeier 
humiliate,verneder 
beware,oppas 
royal,koninklike 
performance,optrede 
hurt,seermaak 
photos,fotos 
buggy,buggy 
Dalberg,dalberg 
endure,verduur 
stronger,sterker 
chairman,voorsitter 
rob,beroof 
wolves,wolwe 
pierre,pierre 
rie,rie 
lives,lewens 
pass,slaag 
tomorrow morning,môreoggend 
